,Company,Country,Location,Date,Rocket,Mission
2373,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",10/06/1989,Delta II 6925,NAVSTAR II-2
2374,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",14/06/1989,Cosmos-3M (11K65M),Cosmos 2027
2375,Martin Marietta,USA,"SLC-41, Cape Canaveral AFS, Florida, USA",14/06/1989,Titan IV(402)A,DSP
2376,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",04/07/1989,Cosmos-3M (11K65M),Nadiezhda nâ Â­4
2377,Arianespace,France,"ELA-1, Guiana Space Centre, French Guiana, France",12/07/1989,Ariane 3,Olympus-1
2378,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24/07/1989,Tsyklon-2,Cosmos 2033
2379,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",25/07/1989,Cosmos-3M (11K65M),Cosmos 2034
2380,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",08/08/1989,Space Shuttle Columbia,STS-28R
2381,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",08/08/1989,Ariane 44LP,"TVSAT-2, Hipparcos"
2382,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",18/08/1989,Delta II 6925,NAVSTAR II-3
2383,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",27/08/1989,Delta II 6925,BSB-R1
2384,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",28/08/1989,Tsyklon-3,Cosmos 2037
2385,Martin Marietta,USA,"SLC-40, Cape Canaveral AFS, Florida, USA",04/09/1989,Titan 34D,DSCS-II-16 & DSCS-III-A2
2386,Martin Marietta,USA,"SLC-4W, Vandenberg AFB, California, USA",06/09/1989,Titan II(23)G,USA-45
2387,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",14/09/1989,Tsyklon-3,Cosmos 2038 to 2043
2388,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",25/09/1989,Atlas-G Centaur-D1AR,FLTSATCOM-8
2389,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",27/09/1989,Molniya-M /Block ML,Molniya-1 nâ Â­139
2390,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",27/09/1989,Tsyklon-2,Cosmos 2046
2391,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",28/09/1989,Tsyklon-3,Intercosmos 24 & Magion 2
2392,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",18/10/1989,Space Shuttle Atlantis,STS-34R
2393,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",24/10/1989,Tsyklon-3,Meteor-3 nâ Â­3
2394,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",27/10/1989,Ariane 44L,Intelsat 6AF2
2395,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",23/11/1989,Space Shuttle Discovery,STS-33R
2396,RVSN USSR,Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",23/11/1989,Molniya-M /Block 2BL,Cosmos 2050
2397,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24/11/1989,Tsyklon-2,Cosmos 2051
2398,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",28/11/1989,Molniya-M /Block ML,Molniya-3 nâ Â­140
2399,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",11/12/1989,Delta II 6925,NAVSTAR II-5
2400,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",27/12/1989,Tsyklon-3,Cosmos 2053
2401,Martin Marietta,USA,"SLC-40, Cape Canaveral AFS, Florida, USA",01/01/1990,Commercial Titan III,Skynet 4A & JCSAT-2
2402,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",09/01/1990,Space Shuttle Columbia,STS-32
2403,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",18/01/1990,Cosmos-3M (11K65M),Cosmos 2056
2404,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",22/01/1990,Ariane 40,"SPOT-2, Oscar 14-19"
2405,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",23/01/1990,Molniya-M /Block ML,Molniya-3 nâ Â­141
2406,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",24/01/1990,Delta II 6925,USA-50 (GPS II-6)
2407,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",30/01/1990,Tsyklon-3,Cosmos 2058
2408,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",30/01/1990,Delta II 6925,USA-64 (GPS II-9)
2409,CASC,China,"LC-3, Xichang Satellite Launch Center, China",04/02/1990,Long March 3,DFH-2A-T4
2410,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",06/02/1990,Cosmos-3M (11K65M),Cosmos 2059
2411,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",14/02/1990,Delta II 6920-8,LACE / RME
2412,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",22/02/1990,Ariane 44L,"Superbird-B, BS-2X"
2413,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",27/02/1990,Cosmos-3M (11K65M),Nadiezhda nâ Â­5
2414,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",28/02/1990,Tsyklon-3,Okean 2
2415,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",28/02/1990,Space Shuttle Atlantis,STS-36
2416,Martin Marietta,USA,"SLC-40, Cape Canaveral AFS, Florida, USA",14/03/1990,Commercial Titan III,Intelsat 603
2417,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14/03/1990,Tsyklon-2,Cosmos 2060
2418,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",20/03/1990,Cosmos-3M (11K65M),Cosmos 2061
2419,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/03/1990,Delta II 6925,USA-54 (GPS II-7)
2420,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",27/03/1990,Molniya-M /Block 2BL,Cosmos 2063
2421,Northrop,USA,"NB-52B Carrier, Edwards AFB, California, USA",05/04/1990,Pegasus,Pegsat & NavySat
2422,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",06/04/1990,Cosmos-3M (11K65M),Cosmos 2064 to 2071
2423,CASC,China,"LC-3, Xichang Satellite Launch Center, China",07/04/1990,Long March 3,AsiaSat 1
2424,Lockheed,USA,"SLC-3W, Vandenberg AFB, California, USA",11/04/1990,Atlas-E/F Altair,USA-56/57/58
2425,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1990,Delta II 6925-8,Palapa B2R
2426,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",20/04/1990,Cosmos-3M (11K65M),Cosmos 2074
2427,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",24/04/1990,Space Shuttle Discovery,STS-31
2428,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",25/04/1990,Cosmos-3M (11K65M),Cosmos 2075
2429,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",26/04/1990,Molniya-M /Block ML,Molniya-1 nâ Â­142
2430,RVSN USSR,Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",28/04/1990,Molniya-M /Block 2BL,Cosmos 2076
2431,RVSN USSR,Kazakhstan,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",22/05/1990,Zenit-2,Cosmos 2082
2432,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/06/1990,Delta II 6920-10,ROSAT
2433,Martin Marietta,USA,"SLC-41, Cape Canaveral AFS, Florida, USA",08/06/1990,Titan IV(405)A,SLDCOM & NOSS 3x
2434,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",12/06/1990,Delta 4925-8,INSAT 1D
2435,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",13/06/1990,Molniya-M /Block ML,Molniya-3 nâ Â­143
2436,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",21/06/1990,Molniya-M /Block 2BL,Cosmos 2084
2437,Martin Marietta,USA,"SLC-40, Cape Canaveral AFS, Florida, USA",23/06/1990,Commercial Titan III,Intelsat 604
2438,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",25/06/1990,Tsyklon-3,Meteor-2 nâ Â­19
2439,CASC,China,"LC-2, Xichang Satellite Launch Center, China",16/07/1990,Long March 2E,"Optus-B, Badr-1, mass simulator"
2440,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",24/07/1990,Ariane 44L,"TDF-2, DFS-2"
2441,RVSN USSR,Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",25/07/1990,Molniya-M /Block 2BL,Cosmos 2087
2442,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",25/07/1990,Atlas I,CRRES
2443,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",30/07/1990,Tsyklon-3,Cosmos 2088
2444,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",08/08/1990,Tsyklon-3,Cosmos 2090 to 2095
2445,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",10/08/1990,Molniya-M /Block ML,Molniya-1 nâ Â­144
2446,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",23/08/1990,Tsyklon-2,Cosmos 2096
2447,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",28/08/1990,Molniya-M /Block 2BL,Cosmos 2097
2448,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",28/08/1990,Cosmos-3M (11K65M),Cosmos 2098
2449,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",30/08/1990,Ariane 44L,"Skynet 4C, Eutelsat 2F1"
2450,CASC,China,"Taiyuan Satellite Launch Center, China",03/09/1990,Long March 4A,Fengyun-1B
2451,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",14/09/1990,Cosmos-3M (11K65M),Cosmos 2100
2452,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",20/09/1990,Molniya-M /Block ML,Molniya-3 nâ Â­145
2453,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",28/09/1990,Tsyklon-3,Meteor-2 nâ Â­20
2454,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",02/10/1990,Delta II 6925,USA-63 (GPS II-8)
2455,RVSN USSR,Kazakhstan,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",04/10/1990,Zenit-2,Tselina-2 nâ Â­8
2456,CASC,China,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",05/10/1990,Long March 2C,FSW-1 No.3
2457,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",06/10/1990,Space Shuttle Discovery,STS-41
2458,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",12/10/1990,Ariane 44L,"SBS-6, Galaxy-6"
2459,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/10/1990,Delta II 6925,Thor 1
2460,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/10/1990,Delta II 6925,Inmarsat-2 F1
2461,Martin Marietta,USA,"SLC-41, Cape Canaveral AFS, Florida, USA",13/11/1990,Titan IV(402)A,DSP
2462,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14/11/1990,Tsyklon-2,Cosmos 2103
2463,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",15/11/1990,Space Shuttle Atlantis,STS-38
2464,RVSN USSR,Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",20/11/1990,Molniya-M /Block 2BL,Cosmos 2105
2465,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",20/11/1990,Ariane 42P,"Satcom C1, GStar-4"
2466,RVSN USSR,Kazakhstan,"Site 131/29, Baikonur Cosmodrome, Kazakhstan",20/11/1990,Rokot/Briz K,GVM Demo Flight
2467,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",23/11/1990,Molniya-M /Block ML,Molniya-1 nâ Â­146
2468,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/11/1990,Delta II 7925,USA-66 (GPS IIA-1)
2469,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",28/11/1990,Tsyklon-3,Cosmos 2106
2470,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",01/12/1990,Atlas-E/F Star-37S-ISS,DMSP F-10
2471,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",02/12/1990,Space Shuttle Columbia,STS-35
2472,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",04/12/1990,Tsyklon-2,Cosmos 2107
2473,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",10/12/1990,Cosmos-3M (11K65M),Cosmos 2112
2474,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",22/12/1990,Tsyklon-3,Cosmos 2114 to 2119
2475,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",08/01/1991,Delta II 7925,NATO 4A
2476,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",15/01/1991,Ariane 44L,"Italsat-1, Eutelsat 2F2"
2477,RVSN USSR,Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",18/01/1991,Tsyklon-2,Cosmos 2122
2478,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",29/01/1991,Cosmos-3M (11K65M),Oscar-21
2479,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",05/02/1991,Cosmos-3M (11K65M),Cosmos 2123
2480,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",12/02/1991,Cosmos-3M (11K65M),Cosmos 2125 to 2132
2481,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",15/02/1991,Molniya-M /Block ML,Molniya-1 nâ Â­147
2482,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",26/02/1991,Cosmos-3M (11K65M),Cosmos 2135
2483,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",02/03/1991,Ariane 44LP,"Astra 1B, Meteosat 5"
2484,Martin Marietta,USA,"SLC-4E, Vandenberg AFB, California, USA",08/03/1991,Titan IV(403)A,Lacrosse
2485,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",08/03/1991,Delta II 6925,Inmarsat-2 F2
2486,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",12/03/1991,Cosmos-3M (11K65M),Nadiezhda nâ Â­6
2487,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",19/03/1991,Cosmos-3M (11K65M),Cosmos 2137
2488,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",22/03/1991,Molniya-M /Block ML,Molniya-3 nâ Â­148
2489,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",04/04/1991,Ariane 44P,Anik E2
2490,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",05/04/1991,Space Shuttle Atlantis,STS-37
2491,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1991,Delta II 7925,ASC-2 (Spacenet F4)
2492,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",16/04/1991,Cosmos-3M (11K65M),Cosmos 2142
2493,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",18/04/1991,Atlas I,Yuri 3H
2494,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",24/04/1991,Tsyklon-3,Meteor-3 nâ Â­4
2495,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",28/04/1991,Space Shuttle Discovery,STS-39
2496,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",14/05/1991,Atlas-E/F Star-37S-ISS,NOAA-D
2497,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",16/05/1991,Tsyklon-3,Cosmos 2143 to 2148
2498,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",29/05/1991,Delta II 7925,Aurora 2
2499,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",04/06/1991,Tsyklon-3,Okean 3
2500,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",05/06/1991,Space Shuttle Columbia,STS-40
2501,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",11/06/1991,Cosmos-3M (11K65M),Cosmos 2150
2502,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",13/06/1991,Tsyklon-3,Cosmos 2151
2503,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",18/06/1991,Molniya-M /Block ML,Molniya-1 nâ Â­149
2504,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",25/06/1991,Cosmos-3M (11K65M),Ta??foun nâ Â­59
2505,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",04/07/1991,Delta II 7925,USA-71 (GPS IIA-2)
2506,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",17/07/1991,Ariane 40,"ERS-1, Oscar 22, Orbcomm-X, Tubsat-A, SARA"
2507,Northrop,USA,"NB-52B Carrier, Edwards AFB, California, USA",21/07/1991,Pegasus/HAPS,7 Microsats
2508,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",01/08/1991,Molniya-M /Block ML,Molniya-1 nâ Â­150
2509,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",02/08/1991,Space Shuttle Atlantis,STS-43
2510,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",14/08/1991,Ariane 44L,Intelsat 605
2511,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",15/08/1991,Tsyklon-3,Meteor-3 nâ Â­5
2512,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",22/08/1991,Cosmos-3M (11K65M),Cosmos 2154
2513,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",29/08/1991,Vostok-2M,IRS-1B
2514,RVSN USSR,Kazakhstan,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",30/08/1991,Zenit-2,Tselina-2 nâ Â­9
2515,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",12/09/1991,Space Shuttle Discovery,STS-48
2516,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",17/09/1991,Molniya-M /Block ML,Molniya-3 nâ Â­151
2517,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",26/09/1991,Ariane 44P,Anik E1
2518,RVSN USSR,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",28/09/1991,Tsyklon-3,Cosmos 2157 to 2162
2519,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",10/10/1991,Cosmos-3M (11K65M),Cosmos 2164
2520,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",29/10/1991,Ariane 44L,Intelsat 6AF1
2521,Martin Marietta,USA,"SLC-4E, Vandenberg AFB, California, USA",08/11/1991,Titan IV(403)A,SLDCOM & NOSS 3x
2522,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",12/11/1991,Tsyklon-3,Cosmos 2165 to 2170
2523,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",24/11/1991,Space Shuttle Atlantis,STS-44
2524,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",27/11/1991,Cosmos-3M (11K65M),Cosmos 2173
2525,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",28/11/1991,Atlas-E/F Star-37S-ISS,DMSP F-11
2526,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",07/12/1991,Atlas II,Eutelsat 2F3
2527,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",16/12/1991,Ariane 44L,"Telecom 2A, Inmarsat 2F3"
2528,Yuzhmash,Russia,"Site 32/2, Plesetsk Cosmodrome, Russia",18/12/1991,Tsyklon-3,Intercosmos 25 & Magion 3
2529,RVSN USSR,Kazakhstan,"Site 175/58, Baikonur Cosmodrome, Kazakhstan",20/12/1991,Rokot/Briz K,GVM Demo Flight
2530,CASC,China,"LC-3, Xichang Satellite Launch Center, China",28/12/1991,Long March 3,DFH-2A-T5
2531,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",22/01/1992,Space Shuttle Discovery,STS-42
2532,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",24/01/1992,Molniya-M /Block 2BL,Cosmos 2176
2533,RVSN USSR,Kazakhstan,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",05/02/1992,Zenit-2,Tselina-2 nâ Â­10
2534,General Dynamics,USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",11/02/1992,Atlas II,USA-78 (DSCS IIIB-14)
2535,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",17/02/1992,Cosmos-3M (11K65M),Cosmos 2180
2536,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",26/02/1992,Ariane 44L,"Superbird-B1, Arabsat-1C"
2537,VKS RF,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",04/03/1992,Molniya-M /Block ML,Molniya-1 nâ Â­152
2538,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",09/03/1992,Cosmos-3M (11K65M),Cosmos 2181
2539,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",14/03/1992,Atlas I,Galaxy 5
2540,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",23/03/1992,Delta II 7925,USA-79 (GPS IIA-3)
2541,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",24/03/1992,Space Shuttle Atlantis,STS-45
2542,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/04/1992,Delta II 7925,USA-80 (GPS IIA-4)
2543,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",15/04/1992,Cosmos-3M (11K65M),Cosmos 2184
2544,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",15/04/1992,Ariane 44L,"Telecom 2B, Inmarsat-2F4"
2545,Martin Marietta,USA,"SLC-4W, Vandenberg AFB, California, USA",25/04/1992,Titan II(23)G,USA-81
2546,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",07/05/1992,Space Shuttle Endeavour,STS-49
2547,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",14/05/1992,Delta II 7925,Palapa B4
2548,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",03/06/1992,Cosmos-3M (11K65M),Cosmos 2187 to 2194
2549,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/06/1992,Delta II 6920-10,EUVE
2550,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",10/06/1992,Atlas IIA,Intelsat K
2551,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",25/06/1992,Space Shuttle Columbia,STS-50
2552,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",01/07/1992,Cosmos-3M (11K65M),Cosmos 2195
2553,General Dynamics,USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",02/07/1992,Atlas II,USA-82 (DSCS IIIB-12)
2554,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",07/07/1992,Delta II 7925,USA-83 (GPS IIA-5)
2555,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",08/07/1992,Molniya-M /Block 2BL,Cosmos 2196
2556,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",09/07/1992,Ariane 44L,"Insat-2A, Eutelsat 2F4"
2557,RVSN USSR,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",13/07/1992,Tsyklon-3,Cosmos 2197 to 2202
2558,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",24/07/1992,Delta II 7925,Satcom C4
2559,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",24/07/1992,Delta II 6925,GEOTAIL
2560,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",31/07/1992,Space Shuttle Atlantis,STS-46
2561,VKS RF,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",06/08/1992,Molniya-M /Block NVL,Molniya-1 nâ Â­153
2562,CASC,China,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",09/08/1992,Long March 2D,FSW-2 No.1
2563,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",10/08/1992,Ariane 42P,"TOPEX/Poseidon, Oscar 23, S80/T"
2564,VKS RF,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",12/08/1992,Cosmos-3M (11K65M),Cosmos 2208
2565,CASC,China,"LC-2, Xichang Satellite Launch Center, China",13/08/1992,Long March 2E,Optus-B1
2566,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",22/08/1992,Atlas I,Galaxy 1R
2567,Boeing,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",09/09/1992,Delta II 7925,USA-84 (GPS IIA-6)
2568,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",10/09/1992,Ariane 44LP,"Hispasat 1A, Satcom C3"
2569,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",12/09/1992,Space Shuttle Endeavour,STS-47
2570,Martin Marietta,USA,"SLC-40, Cape Canaveral AFS, Florida, USA",25/09/1992,Commercial Titan III,Mars Observer
2571,CASC,China,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",06/10/1992,Long March 2C,"FSW-1 No.4, Freja"
2572,Boeing,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",12/10/1992,Delta II 7925,DFS Kopernikus 3
2573,VKS RF,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",14/10/1992,Molniya-M /Block ML,Molniya-3 nâ Â­154
2574,VKS RF,Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",20/10/1992,Tsyklon-3,Cosmos 2211 to 2216
2575,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",22/10/1992,Space Shuttle Columbia,STS-52
2576,Arianespace,France,"ELA-2, Guiana Space Centre, French Guiana, France",28/10/1992,Ariane 42P,Galaxy-7
2577,VKS RF,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",29/10/1992,Cosmos-3M (11K65M),Cosmos 2218
2578,VKS RF,Kazakhstan,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",17/11/1992,Zenit-2,Cosmos 2219
2579,VKS RF,Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",21/11/1992,Molniya-M /Block 2BL,Cosmos 2217
