,Company,Country,Location,Date,Rocket,Mission
1091,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",18/08/1972,Voskhod,Cosmos 515
1092,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",21/08/1972,Atlas-SLV3C Centaur-D,OAO-3
1093,RVSN USSR,Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",21/08/1972,Tsyklon-2,Cosmos 516
1094,RVSN USSR,Russia,"Site 86/1, Kapustin Yar, Russia",30/08/1972,Cosmos-2I (63SM),Intercosmos-7
1095,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",30/08/1972,Voskhod,Cosmos 517
1096,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",01/09/1972,Titan III(24)B,OPS 8888
1097,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",02/09/1972,Voskhod,Zenit-4M nâ Â­40
1098,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",15/09/1972,Voskhod,Cosmos 518
1099,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16/09/1972,Voskhod,Cosmos 519
1100,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",19/09/1972,Molniya-M /Block 2BL,Cosmos 520
1101,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",29/09/1972,Cosmos-3M (11K65M),Cosmos 521
1102,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",30/09/1972,Molniya-M /Block L,Molniya-2 nâ Â­28
1103,General Dynamics,USA,"LC-576A1, Vandenberg AFB, California, USA",02/10/1972,Atlas-E/F Burner,P72-1
1104,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",04/10/1972,Voskhod,Cosmos 522
1105,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",05/10/1972,Cosmos-2I (63SM),Cosmos 523
1106,Martin Marietta,USA,"SLC-4E, Vandenberg AFB, California, USA",10/10/1972,Titan IIID,KH-9 & SSF-C-3
1107,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",11/10/1972,Cosmos-2I (63SM),Cosmos 524
1108,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",14/10/1972,Molniya-M /Block L,Molniya-1 nâ Â­29
1109,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",17/10/1972,Cosmos-3M (11K65M),Strela-2M satellite
1110,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",18/10/1972,Voskhod,Cosmos 525
1111,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",25/10/1972,Cosmos-2I (63SM),Cosmos 526
1112,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",26/10/1972,Vostok-2M,Meteor nâ Â­24
1113,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",31/10/1972,Voskhod,Cosmos 527
1114,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",01/11/1972,Cosmos-3M (11K65M),Cosmos 528 to 535
1115,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",03/11/1972,Cosmos-3M (11K65M),Cosmos 536
1116,RVSN USSR,Kazakhstan,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",23/11/1972,N1-L3,7L (Soyuz 7K-LOK No.1)
1117,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25/11/1972,Voskhod,Cosmos 537
1118,RVSN USSR,Russia,"Site 86/1, Kapustin Yar, Russia",30/11/1972,Cosmos-2I (63SM),Intercosmos-8
1119,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/12/1972,Molniya-M /Block L,Molniya-1 nâ Â­30
