,Country,Company,Year,Rocket,MissionStatus,RocketStatus
251,USA,US Air Force,1963,Scout X-2B,Failure,Retired
252,USA,General Dynamics,1963,Atlas-LV3 Agena-D,Success,Retired
253,Kazakhstan,RVSN USSR,1963,Vostok-2,Success,Retired
254,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Failure,Retired
255,USA,General Dynamics,1963,Atlas-LV3 Agena-D,Success,Retired
256,Kazakhstan,RVSN USSR,1963,Poliot,Success,Retired
257,Kazakhstan,RVSN USSR,1963,Molniya,Success,Retired
258,Kazakhstan,RVSN USSR,1963,Voskhod,Success,Retired
259,USA,General Dynamics,1963,Atlas-LV3C Centaur-B,Success,Retired
260,Kazakhstan,RVSN USSR,1963,Vostok-2,Failure,Retired
261,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Success,Retired
262,USA,General Dynamics,1963,Atlas-LV3 Agena-D,Success,Retired
263,Kazakhstan,RVSN USSR,1963,Vostok-2,Success,Retired
264,USA,NASA,1963,Scout X-4,Success,Retired
265,USA,NASA,1964,Saturn I,Success,Retired
266,Kazakhstan,RVSN USSR,1964,Vostok,Success,Retired
267,USA,General Dynamics,1964,Atlas-LV3 Agena-B,Success,Retired
268,Kazakhstan,RVSN USSR,1964,Molniya,Failure,Retired
269,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
270,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
271,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
272,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
273,Kazakhstan,RVSN USSR,1964,Molniya,Failure,Retired
274,Kazakhstan,RVSN USSR,1964,Molniya,Partial Failure,Retired
275,Kazakhstan,RVSN USSR,1964,Molniya,Success,Retired
276,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
277,USA,NASA,1964,Titan II GLV,Success,Retired
278,Kazakhstan,RVSN USSR,1964,Poliot,Success,Retired
279,Kazakhstan,RVSN USSR,1964,Molniya,Failure,Retired
