,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Columna
2437,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",08/06/1989,17:09:00,Molniya-M /Block ML,Molniya-3 nâ Â­138,Retired,,Success,
2438,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",09/06/1989,10:10:00,Tsyklon-3,Okean 2a,Retired,,Failure,
2439,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",10/06/1989,22:30:00,Delta II 6925,NAVSTAR II-2,Retired,,Success,
2440,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",14/06/1989,12:30:00,Cosmos-3M (11K65M),Cosmos 2027,Retired,,Success,
2441,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",14/06/1989,13:18:00,Titan IV(402)A,DSP,Retired,,Success,
2442,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",04/07/1989,15:21:00,Cosmos-3M (11K65M),Nadiezhda nâ Â­4,Retired,,Success,
2443,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",12/07/1989,00:14:00,Ariane 3,Olympus-1,Retired,,Success,
2444,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24/07/1989,00:00:00,Tsyklon-2,Cosmos 2033,Retired,,Success,
2445,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25/07/1989,07:48:00,Cosmos-3M (11K65M),Cosmos 2034,Retired,,Success,
2446,NASA,"LC-39B, Kennedy Space Center, Florida, USA",08/08/1989,12:37:00,Space Shuttle Columbia,STS-28R,Retired,450,Success,
2447,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",08/08/1989,23:25:00,Ariane 44LP,"TVSAT-2, Hipparcos",Retired,,Success,
2448,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",18/08/1989,05:58:00,Delta II 6925,NAVSTAR II-3,Retired,,Success,
2449,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",27/08/1989,22:59:00,Delta II 6925,BSB-R1,Retired,,Success,
2450,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/08/1989,00:14:00,Tsyklon-3,Cosmos 2037,Retired,,Success,
2451,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",04/09/1989,05:54:00,Titan 34D,DSCS-II-16 & DSCS-III-A2,Retired,,Success,
2452,MHI,"LA-Y1, Tanegashima Space Center, Japan",05/09/1989,19:11:00,H-I UM-129A (6SO),Himawari 4,Retired,,Success,
2453,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",06/09/1989,01:48:00,Titan II(23)G,USA-45,Retired,35,Success,
2454,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",14/09/1989,09:49:00,Tsyklon-3,Cosmos 2038 to 2043,Retired,,Success,
2455,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",25/09/1989,08:56:00,Atlas-G Centaur-D1AR,FLTSATCOM-8,Retired,,Success,
2456,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",27/09/1989,14:38:00,Molniya-M /Block ML,Molniya-1 nâ Â­139,Retired,,Success,
2457,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",27/09/1989,16:20:00,Tsyklon-2,Cosmos 2046,Retired,,Success,
2458,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/09/1989,00:04:00,Tsyklon-3,Intercosmos 24 & Magion 2,Retired,,Success,
2459,NASA,"LC-39B, Kennedy Space Center, Florida, USA",18/10/1989,16:53:00,Space Shuttle Atlantis,STS-34R,Retired,450,Success,
2460,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",24/10/1989,21:35:00,Tsyklon-3,Meteor-3 nâ Â­3,Retired,,Success,
2461,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",27/10/1989,23:05:00,Ariane 44L,Intelsat 6AF2,Retired,,Success,
2462,NASA,"LC-39B, Kennedy Space Center, Florida, USA",23/11/1989,00:23:00,Space Shuttle Discovery,STS-33R,Retired,450,Success,
2463,RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",23/11/1989,20:35:00,Molniya-M /Block 2BL,Cosmos 2050,Retired,,Success,
2464,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24/11/1989,23:22:00,Tsyklon-2,Cosmos 2051,Retired,,Success,
2465,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",28/11/1989,10:01:00,Molniya-M /Block ML,Molniya-3 nâ Â­140,Retired,,Success,
2466,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",11/12/1989,18:10:00,Delta II 6925,NAVSTAR II-5,Retired,,Success,
2467,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",27/12/1989,,Tsyklon-3,Cosmos 2053,Retired,,Success,
2468,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",01/01/1990,00:07:00,Commercial Titan III,Skynet 4A & JCSAT-2,Retired,136.6,Success,
2469,NASA,"LC-39A, Kennedy Space Center, Florida, USA",09/01/1990,12:35:00,Space Shuttle Columbia,STS-32,Retired,450,Success,
2470,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",18/01/1990,12:52:00,Cosmos-3M (11K65M),Cosmos 2056,Retired,,Success,
2471,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",22/01/1990,01:35:00,Ariane 40,"SPOT-2, Oscar 14-19",Retired,,Success,
2472,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",23/01/1990,02:51:00,Molniya-M /Block ML,Molniya-3 nâ Â­141,Retired,,Success,
2473,ISAS,"Mu Pad, Uchinoura Space Center, Japan",24/01/1990,11:46:00,Mu-III S2,Hiten,Retired,,Success,
2474,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",24/01/1990,22:55:00,Delta II 6925,USA-50 (GPS II-6),Retired,,Success,GPS II-6
2475,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30/01/1990,11:20:00,Tsyklon-3,Cosmos 2058,Retired,,Success,
2476,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",30/01/1990,21:56:00,Delta II 6925,USA-64 (GPS II-9),Retired,,Success,GPS II-9
2477,CASC,"LC-3, Xichang Satellite Launch Center, China",04/02/1990,12:28:00,Long March 3,DFH-2A-T4,Retired,,Success,
2478,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06/02/1990,,Cosmos-3M (11K65M),Cosmos 2059,Retired,,Success,
2479,MHI,"LA-Y1, Tanegashima Space Center, Japan",07/02/1990,01:33:00,H-I (9 SO),"Orizuru, Fuji 1b & Momo-1b",Retired,,Success,
2480,MHI,"SLC-N, Tanegashima Space Center, Japan",07/02/1990,01:33:00,H-I (9 SO),MOS-1B / Oscar 20 / DEBUT,Retired,,Success,
2481,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",14/02/1990,16:15:00,Delta II 6920-8,LACE / RME,Retired,,Success,
2482,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",22/02/1990,23:17:00,Ariane 44L,"Superbird-B, BS-2X",Retired,,Failure,
2483,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",27/02/1990,20:59:00,Cosmos-3M (11K65M),Nadiezhda nâ Â­5,Retired,,Success,
2484,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/02/1990,00:55:00,Tsyklon-3,Okean 2,Retired,,Success,
