Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Country
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",06/12/1958,Juno II,Pioneer 3,Retired,Partial Failure,USA
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",18/12/1958,SM-65B Atlas,SCORE,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/01/1959,Vostok,Luna-1,Retired,Partial Failure,Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",17/02/1959,Vanguard,Vanguard 2,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/02/1959,Thor-DM18 Agena-A,Discoverer 1,Retired,Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/04/1959,Thor-DM18 Agena-A,Discoverer 2,Retired,Success,USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",14/04/1959,Vanguard,Vanguard SLV-5,Retired,Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",03/06/1959,Thor-DM18 Agena-A,Discoverer 3,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",18/06/1959,Vostok,E-1A n†­1 (Luna-2),Retired,Failure,Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",22/06/1959,Vanguard,Vanguard SLV-6,Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",25/06/1959,Thor-DM18 Agena-A,Discoverer 4,Retired,Failure,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/08/1959,Thor DM-18 Able-III,Explorer 6,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/08/1959,Thor-DM18 Agena-A,Discoverer 5,Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/08/1959,Thor-DM18 Agena-A,Discoverer 6,Retired,Success,USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",09/09/1959,Atlas-D Mercury,Big Joe 1,Retired,Partial Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/09/1959,Vostok,Luna-2,Retired,Success,Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/09/1959,Thor DM-18 Able-II,Transit 1A,Retired,Failure,USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",18/09/1959,Vanguard,Vanguard 3,Retired,Partial Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1959,Vostok,Luna-3,Retired,Success,Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/11/1959,Thor-DM18 Agena-A,Discoverer 7,Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/11/1959,Thor-DM18 Agena-A,Discoverer 8,Retired,Failure,USA
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",26/11/1959,Atlas-D Able,Pioneer P-3,Retired,Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",04/02/1960,Thor-DM18 Agena-A,Discoverer 9,Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/02/1960,Thor-DM18 Agena-A,Discoverer 10,Retired,Failure,USA
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",26/02/1960,Atlas-LV3 Agena-A,Midas 1,Retired,Failure,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/03/1960,Thor DM-18 Able-IV,Pioneer 5,Retired,Success,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/04/1960,Thor DM-18 Able-II,TIROS-1,Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1960,Thor-DM21 Ablestar,Transit 1B,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/04/1960,Vostok,E-3 n†­2 (Luna-3),Retired,Failure,Kazakhstan
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/04/1960,Thor-DM18 Agena-A,Discoverer 11,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",16/04/1960,Vostok,E-3 n†­3 (Luna-3),Retired,Failure,Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",13/05/1960,Thor DM-19 Delta,Echo 1,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1960,Vostok,Korabl-Sputnik 1,Retired,Success,Kazakhstan
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1960,Atlas-LV3 Agena-A,Midas 2,Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/06/1960,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/06/1960,Thor-DM18 Agena-A,Discoverer 12,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28/07/1960,Vostok,1K n†­2 (Korabl-Sputnik 2),Retired,Failure,Kazakhstan
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29/07/1960,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",10/08/1960,Thor-DM18 Agena-A,Discoverer 13,Retired,Success,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/08/1960,Thor DM-19 Delta,Echo 1A,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",18/08/1960,Thor-DM18 Agena-A,Discoverer 14,Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/08/1960,Thor-DM21 Ablestar,Courier 1A,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19/08/1960,Vostok,Korabl-Sputnik 2,Retired,Success,Kazakhstan
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",13/09/1960,Thor-DM18 Agena-A,Discoverer 15,Retired,Success,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",25/09/1960,Atlas-D Able,Pioneer P-30,Retired,Failure,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",04/10/1960,Thor-DM21 Ablestar,Courier 1B,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/10/1960,Molniya,1M n†­1 (Marsnik 1),Retired,Failure,Kazakhstan
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",11/10/1960,Atlas-LV3 Agena-A,Samos 1,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14/10/1960,Molniya,1M n†­2 (Marsnik 2),Retired,Failure,Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",26/10/1960,Thor DM-21 Agena-B,Discoverer 16,Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/11/1960,Thor DM-21 Agena-B,Discoverer 17,Retired,Success,USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21/11/1960,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,Failure,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",23/11/1960,Thor DM-19 Delta,TIROS-2,Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/11/1960,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/12/1960,Vostok,Korabl-Sputnik 3,Retired,Success,Kazakhstan
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",04/12/1960,Scout X-1,Explorer (S-56),Retired,Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/12/1960,Thor DM-21 Agena-B,Discoverer 18,Retired,Success,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",15/12/1960,Atlas-D Able,Pioneer P-31,Retired,Failure,USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",19/12/1960,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/12/1960,Thor DM-21 Agena-B,Discoverer 19,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22/12/1960,Vostok,1K n†­5 (Korabl-Sputnik 3),Retired,Failure,Kazakhstan
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",31/01/1961,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,Success,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",31/01/1961,Atlas-LV3 Agena-A,Samos 2,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/02/1961,Molniya,1VA n†­1 (Venera 1),Retired,Failure,Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/02/1961,Molniya,Venera 1,Retired,Success,Kazakhstan
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",16/02/1961,Scout X-1,Explorer 9 (S-56A),Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17/02/1961,Thor DM-21 Agena-B,Discoverer 20,Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/02/1961,Thor DM-21 Agena-B,Discoverer 21,Retired,Success,USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",21/02/1961,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/02/1961,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",09/03/1961,Vostok,Korabl-Sputnik 4,Retired,Success,Kazakhstan
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",24/03/1961,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25/03/1961,Vostok,Korabl-Sputnik 5,Retired,Success,Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",25/03/1961,Thor DM-19 Delta,Explorer 10,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/03/1961,Thor DM-21 Agena-B,Discoverer 22,Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",08/04/1961,Thor DM-21 Agena-B,Discoverer 23,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/04/1961,Vostok,Vostok 1,Retired,Success,Kazakhstan
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",25/04/1961,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,Failure,USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",05/05/1961,Mercury-Redstone,Freedom 7 (MR-3),Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",08/06/1961,Thor DM-21 Agena-B,Discoverer 24,Retired,Failure,USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",16/06/1961,Thor DM-21 Agena-B,Discoverer 25,Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",29/06/1961,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,Success,USA
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",30/06/1961,Scout X-1,Explorer (S-55),Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",07/07/1961,Thor DM-21 Agena-B,Discoverer 26,Retired,Success,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/07/1961,Thor DM-19 Delta,TIROS-3,Retired,Success,USA
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",12/07/1961,Atlas-LV3 Agena-B,Midas 3,Retired,Success,USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21/07/1961,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",21/07/1961,Thor DM-21 Agena-B,Discoverer 27,Retired,Failure,USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",04/08/1961,Thor DM-21 Agena-B,Discoverer 28,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06/08/1961,Vostok,Vostok 2,Retired,Success,Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",16/08/1961,Thor DM-19 Delta,Explorer 12,Retired,Success,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23/08/1961,Atlas-LV3 Agena-B,Ranger 1,Retired,Failure,USA
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",25/08/1961,Scout X-1,Explorer 13,Retired,Partial Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/08/1961,Thor DM-21 Agena-B,Discoverer 29,Retired,Success,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",09/09/1961,Atlas-LV3 Agena-B,Samos 3,Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/09/1961,Thor DM-21 Agena-B,Discoverer 30,Retired,Success,USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",13/09/1961,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,Success,USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",17/09/1961,Thor DM-21 Agena-B,Discoverer 31,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/10/1961,Thor DM-21 Agena-B,Discoverer 32,Retired,Success,USA
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",21/10/1961,Atlas-LV3 Agena-B,Midas 4,Retired,Partial Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",23/10/1961,Thor DM-21 Agena-B,Discoverer 33,Retired,Failure,USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",27/10/1961,Cosmos-2I (63S1),DS-1 1,Retired,Failure,Russia
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",01/11/1961,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,Failure,USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",05/11/1961,Thor DM-21 Agena-B,Discoverer 34,Retired,Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",15/11/1961,Thor DM-21 Agena-B,Discoverer 35,Retired,Success,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",15/11/1961,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,Success,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",18/11/1961,Atlas-LV3 Agena-B,Ranger 2,Retired,Failure,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",22/11/1961,Atlas-LV3 Agena-B,Samos 4,Retired,Failure,USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29/11/1961,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/12/1961,Vostok,Zenit-2 n†­1,Retired,Failure,Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12/12/1961,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,Success,USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",21/12/1961,Cosmos-2I (63S1),DS-1 2,Retired,Failure,Russia
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",22/12/1961,Atlas-LV3 Agena-B,Samos 5,Retired,Partial Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/01/1962,Thor DM-21 Agena-B,Discoverer 37,Retired,Failure,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",24/01/1962,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,Failure,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",26/01/1962,Atlas-LV3 Agena-B,Ranger 3,Retired,Partial Failure,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/02/1962,Thor DM-19 Delta,TIROS-4,Retired,Success,USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",20/02/1962,Atlas-D Mercury,Friendship 7 (MA-6),Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21/02/1962,Thor DM-21 Agena-B,FTV 2301,Retired,Partial Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",27/02/1962,Thor DM-21 Agena-B,Discoverer 38,Retired,Success,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/03/1962,Thor DM-19 Delta,OSO-1,Retired,Success,USA
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",07/03/1962,Atlas-LV3 Agena-B,Samos 6,Retired,Success,USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",16/03/1962,Cosmos-2I (63S1),Cosmos 1,Retired,Success,Russia
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",06/04/1962,Cosmos-2I (63S1),Cosmos 2,Retired,Success,Russia
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09/04/1962,Atlas-LV3 Agena-B,Midas 5,Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/04/1962,Thor DM-21 Agena-B,Discoverer 39,Retired,Success,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23/04/1962,Atlas-LV3 Agena-B,Ranger 4,Retired,Success,USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",24/04/1962,Cosmos-2I (63S1),Cosmos 3,Retired,Success,Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",26/04/1962,Vostok,Cosmos 4,Retired,Success,Kazakhstan
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",26/04/1962,Scout X-2,Solrad 4B,Retired,Failure,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/04/1962,Thor DM-19 Delta,Ariel 1,Retired,Success,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",26/04/1962,Atlas-LV3 Agena-B,Samos 7,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/04/1962,Thor DM-21 Agena-B,FTV 1125,Retired,Success,USA
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",08/05/1962,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,Failure,USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/05/1962,Thor-DM21 Ablestar,ANNA 1A,Retired,Failure,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/05/1962,Thor DM-21 Agena-B,FTV 1126,Retired,Success,USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1962,Atlas-D Mercury,Aurora 7 (MA-7),Retired,Success,USA
US Air Force,"SLC-5, Vandenberg AFB, California, USA",24/05/1962,Scout X-2M,DSAP-1 F1 (Program 35),Retired,Failure,USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",28/05/1962,Cosmos-2I (63S1),Cosmos 5,Retired,Success,Russia
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",30/05/1962,Thor DM-21 Agena-B,FTV 1128,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/06/1962,Vostok-2,Zenit-2 n†­3,Retired,Failure,Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",02/06/1962,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,Success,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",17/06/1962,Atlas-LV3 Agena-B,Samos 8,Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/06/1962,Thor DM-21 Agena-B,FTV 2312,Retired,Success,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",19/06/1962,Thor DM-19 Delta,TIROS-5,Retired,Success,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",23/06/1962,Thor DM-21 Agena-B,FTV 1129,Retired,Success,USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",28/06/1962,Thor DM-21 Agena-D,FTV 1151,Retired,Success,USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",30/06/1962,Cosmos-2I (63S1),Cosmos 6,Retired,Success,Russia
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/07/1962,Thor DM-19 Delta,Telstar 1,Retired,Success,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",18/07/1962,Atlas-LV3 Agena-B,Samos 9,Retired,Success,USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21/07/1962,Thor DM-21 Agena-B,FTV 1130,Retired,Success,USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",22/07/1962,Atlas-LV3 Agena-B,Mariner 1,Retired,Failure,USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/07/1962,Thor DM-21 Agena-B,FTV 1131,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28/07/1962,Vostok-2,Cosmos 7,Retired,Success,Kazakhstan
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",02/08/1962,Thor DM-21 Agena-D,FTV 1152,Retired,Success,USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",05/08/1962,Atlas-LV3 Agena-B,Samos 10,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/08/1962,Vostok,Vostok 3,Retired,Success,Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/08/1962,Vostok,Vostok 4,Retired,Success,Kazakhstan
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",18/08/1962,Cosmos-2I (63S1),Cosmos 8,Retired,Success,Russia
US Air Force,"SLC-5, Vandenberg AFB, California, USA",23/08/1962,Scout X-2M,DSAP-1 F2 (Program 35),Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25/08/1962,Molniya,2MV-1 n†­1 (Venera 2),Retired,Failure,Kazakhstan
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",27/08/1962,Atlas-LV3 Agena-B,Mariner 2,Retired,Success,USA
US Air Force,"SLC-2W, Vandenberg AFB, California, USA",29/08/1962,Thor DM-21 Agena-D,FTV 1153,Retired,Success,USA
