Country,Active,Retired,TotalCompaniesPerCountry,Company,Year,Rocket,MissionStatus,RocketStatus,Location,Date,Mission,SuccessfulLaunches,UnsuccessfulLaunches,SuccessToFailureRatio,SuccesfullLaunches,UnsuccessfullLaunches,TotalLaunches
Kazakhstan,,,,,,,,,,,,625.0,72.0,8.680555555555555,,,
New Zealand,,,,,,,,,,,,25.0,3.0,8.333333333333334,,,
India,,,,,,,,,,,,68.0,9.0,7.555555555555555,,,
Israel,,,,,,,,,,,,9.0,2.0,4.5,,,
Kazakhstan,,,,RVSN USSR,,Sputnik 8K71PS,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1957,Sputnik-1,,,,,,
Kazakhstan,,,,RVSN USSR,,Sputnik 8K71PS,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/11/1957,Sputnik-2,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",06/12/1957,Vanguard TV3,,,,,,
USA,,,,AMBA,,Juno I,,,"LC-26A, Cape Canaveral AFS, Florida, USA",01/02/1958,Explorer 1,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",05/02/1958,Vanguard TV3BU,,,,,,
USA,,,,AMBA,,Juno I,,,"LC-26A, Cape Canaveral AFS, Florida, USA",05/03/1958,Explorer 2,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",17/03/1958,Vanguard 1,,,,,,
USA,,,,AMBA,,Juno I,,,"LC-5, Cape Canaveral AFS, Florida, USA",26/03/1958,Explorer 3,,,,,,
Kazakhstan,,,,RVSN USSR,,Sputnik 8A91,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/04/1958,Sputnik-3 #1,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",28/04/1958,Vanguard TV5,,,,,,
Kazakhstan,,,,RVSN USSR,,Sputnik 8A91,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1958,Sputnik-3 #2,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",28/05/1958,Vanguard SLV-1,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",26/06/1958,Vanguard SLV-2,,,,,,
USA,,,,US Navy,,NOTS-EV-1 Pilot II,,,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/07/1958,Pilot-1 (D1),,,,,,
USA,,,,AMBA,,Juno I,,,"LC-5, Cape Canaveral AFS, Florida, USA",26/07/1958,Explorer 4,,,,,,
USA,,,,US Navy,,NOTS-EV-1 Pilot II,,,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",12/08/1958,Pilot-2 (D2),,,,,,
USA,,,,US Air Force,,Thor-DM 18 Able I,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/08/1958,Pioneer 0,,,,,,
USA,,,,US Navy,,NOTS-EV-1 Pilot II,,,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",22/08/1958,Pilot-3 (D3),,,,,,
USA,,,,AMBA,,Juno I,,,"LC-5, Cape Canaveral AFS, Florida, USA",24/08/1958,Explorer 5,,,,,,
USA,,,,US Navy,,NOTS-EV-1 Pilot II,,,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/08/1958,Pilot-4 (R1),,,,,,
USA,,,,US Navy,,NOTS-EV-1 Pilot II,,,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",26/08/1958,Pilot-5 (R2),,,,,,
USA,,,,US Navy,,NOTS-EV-1 Pilot II,,,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",29/08/1958,Pilot-6 (R3,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23/09/1958,E-1 nâ Â­1 (Luna-1),,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",26/09/1958,Vanguard SLV-3,,,,,,
USA,,,,NASA,,Thor-DM 18 Able I,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/10/1958,Pioneer 1,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/10/1958,E-1 nâ Â­2 (Luna-1),,,,,,
USA,,,,AMBA,,Juno I,,,"LC-5, Cape Canaveral AFS, Florida, USA",23/10/1958,Beacon 1,,,,,,
USA,,,,NASA,,Thor-DM 18 Able I,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/11/1958,Pioneer 2,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/12/1958,E-1 nâ Â­3 (Luna-1),,,,,,
USA,,,,AMBA,,Juno II,,,"LC-5, Cape Canaveral AFS, Florida, USA",06/12/1958,Pioneer 3,,,,,,
USA,,,,US Air Force,,SM-65B Atlas,,,"LC-11, Cape Canaveral AFS, Florida, USA",18/12/1958,SCORE,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/01/1959,Luna-1,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",17/02/1959,Vanguard 2,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/02/1959,Discoverer 1,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/04/1959,Discoverer 2,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",14/04/1959,Vanguard SLV-5,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",03/06/1959,Discoverer 3,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",18/06/1959,E-1A nâ Â­1 (Luna-2),,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",22/06/1959,Vanguard SLV-6,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",25/06/1959,Discoverer 4,,,,,,
